id,idmc,sku,orderid,model,taghelper,thumb,qsConfigure,urlConfigure,urlBuy,price,description,productSeoUrl,images,infoUpper,infoLining,infoSoleType,infoSole,infoShoeLast,infoHtml,finishing_attribute,materials,colors,lifestyleImages,studioImages,studioMainImage,mainProductionRateCode,mainProductionRateTimeDesc,shippingWeight,sizingCode,sizingServiceUrl
4995,4453,GI-4995,0c4869d5-ee29-4713-bfd8-4d2fb8672f78,Balmoral Boot,Fast Lane,https://backoffice.bespokefactory.com/get-inspired/img/products/4995_thumb.jpg,/?b=P289NjA4X18wYzQ4NjlkNS1lZTI5LTQ3MTMtYmZkOC00ZDJmYjg2NzJmNzg=,waltermto.com/pages/designs/#/?b=P289NjA4X18wYzQ4NjlkNS1lZTI5LTQ3MTMtYmZkOC00ZDJmYjg2NzJmNzg=,waltermto.com/pages/designs/#/redirect.aspx?type=select-size&idcs=608&orderid=0c4869d5-ee29-4713-bfd8-4d2fb8672f78&idc=17083,499,"A Balmoral boot is the epitome of a formal boot. With all the sophistication and class of an oxford, the Balmoral boot gains it's inspiration from vintage European styles. Featuring closed channel lacing and a sleek silhouette, Balmoral boots frequently highlight a contrasting upper panel.",4995balmoralbootcognacboxcalf,"https://backoffice.bespokefactory.com/get-inspired/img/products/4995_hd.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-B.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-C.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-D.jpg",cognac box calf,,"Goodyear Welt, leather sole","cognac Goodyear Welt, leather sole",zurigo goodyear welt,"<div class=product-info-details""><p class=""product-info-details-materials""><b>Materials: cognac box calf</b></p><p class=""product-info-details-sole""><b>Sole: cognac Goodyear Welt, leather sole</b></p></div>""",Standard Finishing,box calf,brown,https://backoffice.bespokefactory.com/get-inspired/img/products/4995_hd.jpg,"https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-B.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-C.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-D.jpg",https://backoffice.bespokefactory.com/get-inspired/img/temp/0c4869d5-ee29-4713-bfd8-4d2fb8672f78-B.jpg,fl,6-7 Working Days,3.5,eyJpZGMiOjYwOCwiaWRtYyI6NDQ1Mywib3JkZXJpZCI6IjBjNDg2OWQ1LWVlMjktNDcxMy1iZmQ4LTRkMmZiODY3MmY3OCIsInZpZXdtb2RlIjoic2ltcGxlIn0=,https://cdn1.made-to-order.com/stock/stock_model.aspx?data=eyJpZGMiOjYwOCwiaWRtYyI6NDQ1Mywib3JkZXJpZCI6IjBjNDg2OWQ1LWVlMjktNDcxMy1iZmQ4LTRkMmZiODY3MmY3OCIsInZpZXdtb2RlIjoic2ltcGxlIn0=
5034,4441,GI-5034,38b10d9f-c4f1-458e-8ddc-8f7da879a859,Balmoral Boot,Fast Lane,https://backoffice.bespokefactory.com/get-inspired/img/products/5034_thumb.jpg,/?b=P289NjA4X18zOGIxMGQ5Zi1jNGYxLTQ1OGUtOGRkYy04ZjdkYTg3OWE4NTk=,waltermto.com/pages/designs/#/?b=P289NjA4X18zOGIxMGQ5Zi1jNGYxLTQ1OGUtOGRkYy04ZjdkYTg3OWE4NTk=,waltermto.com/pages/designs/#/redirect.aspx?type=select-size&idcs=608&orderid=38b10d9f-c4f1-458e-8ddc-8f7da879a859&idc=17083,499,"A Balmoral boot is the epitome of a formal boot. With all the sophistication and class of an oxford, the Balmoral boot gains it's inspiration from vintage European styles. Featuring closed channel lacing and a sleek silhouette, Balmoral boots frequently highlight a contrasting upper panel.",5034balmoralbootblackboxcalf,"https://backoffice.bespokefactory.com/get-inspired/img/products/5034_hd.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-B.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-C.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-D.jpg",black box calf,,"Goodyear Welt, leather sole","dark red Goodyear Welt, leather sole",zurigo goodyear welt,"<div class=product-info-details""><p class=""product-info-details-materials""><b>Materials: black box calf</b></p><p class=""product-info-details-sole""><b>Sole: dark red Goodyear Welt, leather sole</b></p></div>""",Standard Finishing,box calf,black,https://backoffice.bespokefactory.com/get-inspired/img/products/5034_hd.jpg,"https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-B.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-C.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-D.jpg",https://backoffice.bespokefactory.com/get-inspired/img/temp/38b10d9f-c4f1-458e-8ddc-8f7da879a859-B.jpg,fl,6-7 Working Days,3.5,eyJpZGMiOjYwOCwiaWRtYyI6NDQ0MSwib3JkZXJpZCI6IjM4YjEwZDlmLWM0ZjEtNDU4ZS04ZGRjLThmN2RhODc5YTg1OSIsInZpZXdtb2RlIjoic2ltcGxlIn0=,https://cdn1.made-to-order.com/stock/stock_model.aspx?data=eyJpZGMiOjYwOCwiaWRtYyI6NDQ0MSwib3JkZXJpZCI6IjM4YjEwZDlmLWM0ZjEtNDU4ZS04ZGRjLThmN2RhODc5YTg1OSIsInZpZXdtb2RlIjoic2ltcGxlIn0=
4994,4441,GI-4994,270df6ff-2fab-4906-a648-53bb3de72f7e,Balmoral Boot,Fast Lane,https://backoffice.bespokefactory.com/get-inspired/img/products/4994_thumb.jpg,/?b=P289NjA4X18yNzBkZjZmZi0yZmFiLTQ5MDYtYTY0OC01M2JiM2RlNzJmN2U=,waltermto.com/pages/designs/#/?b=P289NjA4X18yNzBkZjZmZi0yZmFiLTQ5MDYtYTY0OC01M2JiM2RlNzJmN2U=,waltermto.com/pages/designs/#/redirect.aspx?type=select-size&idcs=608&orderid=270df6ff-2fab-4906-a648-53bb3de72f7e&idc=17083,499,"A Balmoral boot is the epitome of a formal boot. With all the sophistication and class of an oxford, the Balmoral boot gains it's inspiration from vintage European styles. Featuring closed channel lacing and a sleek silhouette, Balmoral boots frequently highlight a contrasting upper panel.",4994balmoralbootdarkbrownboxcalf,"https://backoffice.bespokefactory.com/get-inspired/img/products/4994_hd.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-B.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-C.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-D.jpg",dark brown box calf,,"Goodyear Welt, leather sole","brown Goodyear Welt, leather sole",zurigo goodyear welt,"<div class=product-info-details""><p class=""product-info-details-materials""><b>Materials: dark brown box calf</b></p><p class=""product-info-details-sole""><b>Sole: brown Goodyear Welt, leather sole</b></p></div>""",Standard Finishing,box calf,dark brown,https://backoffice.bespokefactory.com/get-inspired/img/products/4994_hd.jpg,"https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-B.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-C.jpg,https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-D.jpg",https://backoffice.bespokefactory.com/get-inspired/img/temp/270df6ff-2fab-4906-a648-53bb3de72f7e-B.jpg,fl,6-7 Working Days,3.5,eyJpZGMiOjYwOCwiaWRtYyI6NDQ0MSwib3JkZXJpZCI6IjI3MGRmNmZmLTJmYWItNDkwNi1hNjQ4LTUzYmIzZGU3MmY3ZSIsInZpZXdtb2RlIjoic2ltcGxlIn0=,https://cdn1.made-to-order.com/stock/stock_model.aspx?data=eyJpZGMiOjYwOCwiaWRtYyI6NDQ0MSwib3JkZXJpZCI6IjI3MGRmNmZmLTJmYWItNDkwNi1hNjQ4LTUzYmIzZGU3MmY3ZSIsInZpZXdtb2RlIjoic2ltcGxlIn0=
